Private Entity,External URI,Confidence,Type
http://example.org/medical/Quick_Action,wd:Q134449529,0.85,Drug
http://example.org/medical/RESORCINOL,wd:Q408865,0.9,ActiveIngredient
http://example.org/medical/Rescue_Sleep,NOT_FOUND,0.0,Drug
http://example.org/medical/Rite_Aid_Corporation,wd:Q3433273,0.8,Manufacturer
http://example.org/medical/Rxhomeo_Private_Limited_dba_Rxhomeo_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/SACUBITRIL,wd:Q17811448,0.9,ActiveIngredient
http://example.org/medical/SALICYLIC_ACID,wd:Q193572,0.9,ActiveIngredient
http://example.org/medical/SERTRALINE_HYDROCHLORIDE,wd:Q27108281,0.9,ActiveIngredient
http://example.org/medical/SILICEA,wd:Q130101986,0.85,Drug
http://example.org/medical/SILICON_DIOXIDE,wd:Q116269,0.9,ActiveIngredient
http://example.org/medical/SODIUM_FLUORIDE,wd:Q407520,0.9,ActiveIngredient
http://example.org/medical/Sante_Manufacturing_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Sertraline_Hydrochloride,wd:Q27108281,0.9,Drug
http://example.org/medical/Sodalis_USA_LLC,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Strategic_Sourcing_Services_LLC,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Sun_Pharmaceutical_Industries_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Sure_Complete_Confidence_Antiperspirant_Deodorant_Aerosol_Unscented,NOT_FOUND,0.0,Drug
http://example.org/medical/TETRAHYDROZOLINE_HYDROCHLORIDE,wd:Q27237368,0.9,ActiveIngredient
http://example.org/medical/TITANIUM_DIOXIDE,wd:Q193521,0.9,ActiveIngredient
http://example.org/medical/TOPICAL,wd:Q238512,0.8,Route
http://example.org/medical/TRAMETINIB_DIMETHYL_SULFOXIDE,wd:Q7833138,0.9,ActiveIngredient
http://example.org/medical/Thera_Plus_Maximum_Strength_Feminine_Anti-Itch,NOT_FOUND,0.0,Drug
http://example.org/medical/VALSARTAN,wd:Q155472,0.85,ActiveIngredient
http://example.org/medical/VARENICLINE_TARTRATE,wd:Q27157813,0.9,ActiveIngredient
http://example.org/medical/VERADEX-E,NOT_FOUND,0.0,Drug
http://example.org/medical/Valu_Merchandisers_Company,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Varenicline,wd:Q411330,0.9,Drug
http://example.org/medical/Walmart_Inc,wd:Q483551,0.8,Manufacturer
http://example.org/medical/anti_itch,wd:Q2853347,0.9,Drug
http://example.org/medical/basic_care_acetaminophen,NOT_FOUND,0.0,Drug
